"","State","Year","Political_Party","New_Policies","Renewable_Percent"
"557","NC",2003,"Democrat",0,6
"558","NC",2004,"Democrat",1,4
"559","NC",2005,"Democrat",2,4
"560","NC",2006,"Democrat",8,4
"561","NC",2007,"Democrat",7,4
"562","NC",2008,"Democrat",4,6
"563","NC",2009,"Democrat",14,6
"564","NC",2010,"Democrat",5,6
"565","NC",2011,"Democrat",2,6
"566","NC",2012,"Democrat",2,7
"567","NC",2013,"Republican (2nd Gov. mid-year)",1,7
"568","NC",2014,"Republican",1,7
"569","NC",2015,"Republican",2,7
"570","NC",2016,"Republican",0,7
"571","NC",2017,"Democrat",0,7
"572","NC",2018,"Democrat",0,8
"573","NC",2019,"Democrat",2,8
"574","NC",2020,"Democrat",1,9
"575","NC",2021,"Democrat",2,8
"576","NC",2022,"Democrat",2,8
"577","NC",2023,"Democrat",1,8
"578","ND",2000,"Republican",3,3
"579","ND",2001,"Republican",0,3
"580","ND",2002,"Republican",0,3
"581","ND",2003,"Republican",0,3
"582","ND",2004,"Republican",0,3
"583","ND",2005,"Republican",0,3
"584","ND",2006,"Republican",2,3
"585","ND",2007,"Republican",2,5
"586","ND",2008,"Republican",1,6
"587","ND",2009,"Republican",0,8
"588","ND",2010,"Republican",0,10
"589","ND",2011,"Republican",3,10
"590","ND",2012,"Republican",2,10
"591","ND",2013,"Republican",0,9
"592","ND",2014,"Republican",0,9
"593","ND",2015,"Republican",0,10
"594","ND",2016,"Republican",0,12
"595","ND",2017,"Republican",0,14
"596","ND",2018,"Republican",0,13
"597","ND",2019,"Republican",0,13
"598","ND",2020,"Republican",0,14
"599","ND",2021,"Republican",0,14
"600","ND",2022,"Republican",0,14
"601","ND",2023,"Republican",1,13
"602","NE",2000,"Republican",2,5
"603","NE",2001,"Republican",0,5
"604","NE",2002,"Republican",0,5
"605","NE",2003,"Republican",0,6
"606","NE",2004,"Republican",0,7
"607","NE",2005,"Republican",0,6
"608","NE",2006,"Republican",1,7
"609","NE",2007,"Republican",1,8
"610","NE",2008,"Republican",0,10
"611","NE",2009,"Republican",6,11
"612","NE",2010,"Republican",1,14
"613","NE",2011,"Republican",1,15
"614","NE",2012,"Republican",0,14
"615","NE",2013,"Republican",1,14
"616","NE",2014,"Republican",0,15
"617","NE",2015,"Republican",0,16
"618","NE",2016,"Republican",2,17
"619","NE",2017,"Republican",0,18
"620","NE",2018,"Republican",1,17
"621","NE",2019,"Republican",0,18
"622","NE",2020,"Republican",0,18
"623","NE",2021,"Republican",1,19
"624","NE",2022,"Republican",1,20
"625","NE",2023,"Republican",0,20
"626","NH",2000,"Democrat",3,10
"627","NH",2001,"Democrat",0,8
"628","NH",2002,"Democrat",1,7
"629","NH",2003,"Republican (2nd Gov. mid-year)",0,7
"630","NH",2004,"Republican",0,8
"631","NH",2005,"Democrat (2nd Gov. mid-year)",0,10
"632","NH",2006,"Democrat",13,9
"633","NH",2007,"Democrat",3,10
"634","NH",2008,"Democrat",0,11
"635","NH",2009,"Democrat",1,13
"636","NH",2010,"Democrat",4,14
"637","NH",2011,"Democrat",1,14
"638","NH",2012,"Democrat",0,15
"639","NH",2013,"Democrat",0,16
"640","NH",2014,"Democrat",0,16
"641","NH",2015,"Democrat",1,18
"642","NH",2016,"Democrat",1,17
"643","NH",2017,"Republican (2nd Gov. mid-year)",0,18
"644","NH",2018,"Republican",0,16
"645","NH",2019,"Republican",1,16
"646","NH",2020,"Republican",0,13
"647","NH",2021,"Republican",1,13
"648","NH",2022,"Republican",2,13
"649","NH",2023,"Republican",8,13
"650","NJ",2000,"Republican",3,2
"651","NJ",2001,"Republican",2,1
"652","NJ",2002,"Democrat (2nd Gov. mid-year)",0,1
"653","NJ",2003,"Democrat",1,1
"654","NJ",2004,"Democrat",0,1
"655","NJ",2006,"Democrat",5,2
"656","NJ",2007,"Democrat",2,2
"657","NJ",2008,"Democrat",3,2
"658","NJ",2009,"Democrat",4,3
"659","NJ",2010,"Republican (2nd Gov. mid-year)",4,3
"660","NJ",2011,"Republican",1,3
"661","NJ",2012,"Republican",2,3
"662","NJ",2013,"Republican",0,4
"663","NJ",2014,"Republican",2,4
"664","NJ",2015,"Republican",2,3
"665","NJ",2016,"Republican",0,3
"666","NJ",2017,"Republican",0,3
"667","NJ",2018,"Republican",1,3
"668","NM",2000,"Republican",2,1
"669","NM",2001,"Republican",0,1
"670","NM",2002,"Republican",1,1
"671","NM",2003,"Democrat (2nd Gov. mid-year)",1,1
"672","NM",2004,"Democrat",0,1
"673","NM",2005,"Democrat",2,3
"674","NM",2006,"Democrat",2,3
"675","NM",2007,"Democrat",3,3
"676","NM",2008,"Democrat",3,4
"677","NM",2009,"Democrat",3,3
"678","NM",2010,"Democrat",6,4
"679","NM",2011,"Republican (2nd Gov. mid-year)",2,4
"680","NM",2012,"Republican",2,4
"681","NM",2013,"Republican",0,4
"682","NM",2014,"Republican",2,4
"683","NM",2015,"Republican",0,5
"684","NM",2016,"Republican",1,6
"685","NM",2017,"Republican",1,6
"686","NM",2018,"Republican",0,8
"687","NM",2019,"Republican",0,8
"688","NV",2000,"Republican",7,4
"689","NV",2001,"Republican",0,3
"690","NV",2002,"Republican",0,3
"691","NV",2003,"Republican",2,3
"692","NV",2004,"Republican",0,3
"693","NV",2005,"Republican",0,3
"694","NV",2006,"Republican",2,3
"695","NV",2007,"Republican",4,3
"696","NV",2008,"Republican",1,3
"697","NV",2009,"Republican",3,4
